event_id,quote_id,event_type,actor_role,actor_id,timestamp,days_since_submission,comment_text,approver_ooo_flag
EVT-00059,Q-2025-00012,Approved,First Approver,APPR-006,2025-06-07T00:00:00,33,,False
EVT-00060,Q-2025-00012,Comment Added,First Approver,APPR-006,2025-06-06T00:00:00,32,Review flagged items and resubmit.,False
EVT-00061,Q-2025-00012,Rejected,First Approver,APPR-006,2025-06-10T00:00:00,36,,False
EVT-00062,Q-2025-00012,Comment Added,First Approver,APPR-006,2025-06-08T00:00:00,36,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00063,Q-2025-00012,Rejected,First Approver,APPR-006,2025-06-13T00:00:00,39,Review flagged items and resubmit.,False
EVT-00064,Q-2025-00012,Resubmitted,AE,AE-003,2025-06-13T00:00:00,39,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00065,Q-2025-00013,Submitted,AE,AE-021,2025-03-31T00:00:00,0,,False
EVT-00066,Q-2025-00013,Comment Added,First Approver,APPR-001,2025-04-01T00:00:00,1,Revenue recognition treatment needs clarification.,False
EVT-00067,Q-2025-00013,Approved,First Approver,APPR-001,2025-04-05T00:00:00,5,,False
EVT-00068,Q-2025-00013,Comment Added,First Approver,APPR-001,2025-04-03T00:00:00,5,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00069,Q-2025-00013,Rejected,First Approver,APPR-001,2025-04-07T00:00:00,7,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00070,Q-2025-00015,Submitted,AE,AE-003,2025-03-13T00:00:00,0,,False
EVT-00071,Q-2025-00015,Comment Added,First Approver,APPR-003,2025-03-14T00:00:00,3,Pricing on line 3 is below LEP. Correct net price to at least €57.63 before resubmission.,False
EVT-00072,Q-2025-00015,Rejected,First Approver,APPR-003,2025-03-20T00:00:00,7,,False
EVT-00073,Q-2025-00015,Rejected,First Approver,APPR-003,2025-03-19T00:00:00,6,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00074,Q-2025-00015,Resubmitted,AE,AE-003,2025-03-23T00:00:00,10,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00075,Q-2025-00016,Submitted,AE,AE-010,2025-03-31T00:00:00,0,,False
EVT-00076,Q-2025-00016,Approved,First Approver,APPR-009,2025-04-05T00:00:00,5,,False
EVT-00077,Q-2025-00018,Submitted,AE,AE-042,2025-03-31T00:00:00,0,,False
EVT-00078,Q-2025-00019,Submitted,AE,AE-001,2025-03-28T00:00:00,0,,False
EVT-00079,Q-2025-00019,Approved,First Approver,APPR-003,2025-04-02T00:00:00,5,,False
EVT-00080,Q-2025-00019,Approved,First Approver,APPR-003,2025-04-04T00:00:00,7,,False
EVT-00081,Q-2025-00020,Submitted,AE,AE-003,2025-04-24T00:00:00,0,,False
EVT-00082,Q-2025-00020,Rejected,First Approver,APPR-004,2025-04-27T00:00:00,3,,False
EVT-00083,Q-2025-00020,Rejected,First Approver,APPR-004,2025-04-30T00:00:00,6,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00084,Q-2025-00021,Submitted,AE,AE-020,2025-03-25T00:00:00,0,,False
EVT-00085,Q-2025-00021,Rejected,First Approver,APPR-010,2025-03-28T00:00:00,3,,False
EVT-00086,Q-2025-00021,Approved,First Approver,APPR-010,2025-04-01T00:00:00,7,,False
EVT-00087,Q-2025-00022,Submitted,AE,AE-021,2025-04-23T00:00:00,0,,False
EVT-00088,Q-2025-00022,Comment Added,First Approver,APPR-006,2025-04-25T00:00:00,2,Pricing on line 3 is below LEP. Correct net price to at least €66.59 before resubmission.,True
EVT-00089,Q-2025-00022,Rejected,First Approver,APPR-006,2025-04-27T00:00:00,4,Business justification for discount >35% is absent. Attach margin analysis.,True
EVT-00090,Q-2025-00022,Resubmitted,AE,AE-021,2025-05-03T00:00:00,10,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00091,Q-2025-00023,Submitted,AE,AE-010,2025-03-29T00:00:00,0,,False
EVT-00092,Q-2025-00023,Comment Added,First Approver,APPR-005,2025-03-31T00:00:00,2,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,True
EVT-00093,Q-2025-00023,Rejected,First Approver,APPR-005,2025-04-03T00:00:00,5,Business justification for discount >35% is absent. Attach margin analysis.,True
EVT-00094,Q-2025-00023,Resubmitted,AE,AE-010,2025-04-04T00:00:00,6,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00095,Q-2025-00024,Submitted,AE,AE-039,2025-03-28T00:00:00,0,,False
EVT-00096,Q-2025-00024,Comment Added,First Approver,APPR-004,2025-03-31T00:00:00,3,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00097,Q-2025-00024,Rejected,First Approver,APPR-004,2025-04-02T00:00:00,5,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00098,Q-2025-00024,Resubmitted,AE,AE-039,2025-04-03T00:00:00,6,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00099,Q-2025-00025,Submitted,AE,AE-010,2025-03-29T00:00:00,0,,False
EVT-00100,Q-2025-00025,Comment Added,First Approver,APPR-005,2025-04-01T00:00:00,3,Pricing on line 3 is below LEP. Correct net price to at least €62.23 before resubmission.,False
EVT-00101,Q-2025-00025,Rejected,First Approver,APPR-005,2025-04-02T00:00:00,4,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00102,Q-2025-00025,Resubmitted,AE,AE-010,2025-04-05T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00103,Q-2025-00026,Submitted,AE,AE-001,2025-03-24T00:00:00,0,,False
EVT-00104,Q-2025-00026,Comment Added,First Approver,APPR-007,2025-03-25T00:00:00,2,Year-1 ACV is 43% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00105,Q-2025-00026,Rejected,First Approver,APPR-007,2025-03-28T00:00:00,4,,False
EVT-00106,Q-2025-00026,Comment Added,First Approver,APPR-007,2025-03-27T00:00:00,4,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00107,Q-2025-00026,Approved,First Approver,APPR-007,2025-03-29T00:00:00,5,,False
EVT-00108,Q-2025-00026,Comment Added,First Approver,APPR-007,2025-03-30T00:00:00,8,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00109,Q-2025-00026,Rejected,First Approver,APPR-007,2025-04-04T00:00:00,11,,False
EVT-00110,Q-2025-00026,Rejected,First Approver,APPR-007,2025-04-04T00:00:00,11,Year-1 ACV is 42% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00111,Q-2025-00026,Resubmitted,AE,AE-001,2025-04-05T00:00:00,12,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00112,Q-2025-00027,Submitted,AE,AE-042,2025-03-28T00:00:00,0,,False
EVT-00113,Q-2025-00027,Comment Added,First Approver,APPR-009,2025-03-29T00:00:00,1,Pricing on line 3 is below LEP. Correct net price to at least €52.41 before resubmission.,False
EVT-00114,Q-2025-00027,Rejected,First Approver,APPR-009,2025-03-31T00:00:00,3,,False
EVT-00115,Q-2025-00027,Comment Added,First Approver,APPR-009,2025-03-30T00:00:00,4,Pricing on line 3 is below LEP. Correct net price to at least €58.19 before resubmission.,False
EVT-00116,Q-2025-00027,Rejected,First Approver,APPR-009,2025-04-03T00:00:00,6,,False
EVT-00117,Q-2025-00027,Comment Added,First Approver,APPR-009,2025-04-03T00:00:00,8,Pricing on line 3 is below LEP. Correct net price to at least €58.12 before resubmission.,False
EVT-00118,Q-2025-00027,Rejected,First Approver,APPR-009,2025-04-06T00:00:00,9,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00119,Q-2025-00027,Resubmitted,AE,AE-042,2025-04-11T00:00:00,14,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00120,Q-2025-00028,Submitted,AE,AE-009,2025-03-30T00:00:00,0,,False
EVT-00121,Q-2025-00028,Rejected,First Approver,APPR-007,2025-04-04T00:00:00,5,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00122,Q-2025-00028,Resubmitted,AE,AE-009,2025-04-08T00:00:00,9,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00123,Q-2025-00029,Submitted,AE,AE-020,2025-03-29T00:00:00,0,,False
EVT-00124,Q-2025-00029,Comment Added,First Approver,APPR-005,2025-04-01T00:00:00,4,Year-1 ACV is 35% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00125,Q-2025-00029,Escalated,First Approver,APPR-005,2025-04-07T00:00:00,9,Escalated to Board for high-value deal approval.,False
EVT-00126,Q-2025-00029,Rejected,First Approver,APPR-005,2025-05-02T00:00:00,34,,False
EVT-00127,Q-2025-00029,Comment Added,First Approver,APPR-005,2025-04-30T00:00:00,33,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00128,Q-2025-00029,Rejected,First Approver,APPR-005,2025-05-03T00:00:00,35,Business justification for discount >35% is absent. Attach margin analysis.,False
EVT-00129,Q-2025-00029,Resubmitted,AE,AE-020,2025-05-04T00:00:00,36,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00130,Q-2025-00030,Submitted,AE,AE-010,2025-03-30T00:00:00,0,,False
EVT-00131,Q-2025-00030,Comment Added,First Approver,APPR-004,2025-03-31T00:00:00,2,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00132,Q-2025-00030,Rejected,First Approver,APPR-004,2025-04-04T00:00:00,5,Year-1 ACV is 29% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00133,Q-2025-00030,Resubmitted,AE,AE-010,2025-04-07T00:00:00,8,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00134,Q-2025-00031,Submitted,AE,AE-042,2025-04-27T00:00:00,0,,False
EVT-00135,Q-2025-00031,Comment Added,First Approver,APPR-006,2025-04-28T00:00:00,3,Year-1 ACV is 31% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00136,Q-2025-00031,Rejected,First Approver,APPR-006,2025-05-01T00:00:00,4,,False
EVT-00137,Q-2025-00031,Rejected,First Approver,APPR-006,2025-05-06T00:00:00,9,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00138,Q-2025-00031,Resubmitted,AE,AE-042,2025-05-08T00:00:00,11,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00139,Q-2025-00032,Submitted,AE,AE-023,2025-03-29T00:00:00,0,,False
EVT-00140,Q-2025-00032,Approved,First Approver,APPR-010,2025-04-03T00:00:00,5,,False
EVT-00141,Q-2025-00033,Submitted,AE,AE-009,2025-03-28T00:00:00,0,,False
EVT-00142,Q-2025-00033,Approved,First Approver,APPR-005,2025-04-04T00:00:00,7,,False
EVT-00143,Q-2025-00033,Rejected,First Approver,APPR-005,2025-04-02T00:00:00,5,Year-1 ACV is 31% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00144,Q-2025-00033,Resubmitted,AE,AE-009,2025-04-04T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00145,Q-2025-00034,Submitted,AE,AE-004,2025-01-22T00:00:00,0,,False
EVT-00146,Q-2025-00034,Comment Added,First Approver,APPR-003,2025-01-23T00:00:00,1,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00147,Q-2025-00034,Rejected,First Approver,APPR-003,2025-01-25T00:00:00,3,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00148,Q-2025-00034,Resubmitted,AE,AE-004,2025-01-25T00:00:00,3,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00149,Q-2025-00035,Submitted,AE,AE-036,2025-03-04T00:00:00,0,,False
EVT-00150,Q-2025-00035,Rejected,First Approver,APPR-002,2025-03-07T00:00:00,3,,True
EVT-00151,Q-2025-00035,Comment Added,First Approver,APPR-002,2025-03-08T00:00:00,5,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,True
EVT-00152,Q-2025-00035,Rejected,First Approver,APPR-002,2025-03-12T00:00:00,8,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00153,Q-2025-00035,Resubmitted,AE,AE-036,2025-03-15T00:00:00,11,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00154,Q-2025-00036,Submitted,AE,AE-001,2025-03-28T00:00:00,0,,False
EVT-00155,Q-2025-00036,Comment Added,First Approver,APPR-004,2025-03-30T00:00:00,3,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00156,Q-2025-00036,Rejected,First Approver,APPR-004,2025-04-02T00:00:00,5,,False
EVT-00157,Q-2025-00036,Rejected,First Approver,APPR-004,2025-04-06T00:00:00,9,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00158,Q-2025-00036,Resubmitted,AE,AE-001,2025-04-09T00:00:00,12,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00159,Q-2025-00037,Submitted,AE,AE-036,2025-03-09T00:00:00,0,,False
EVT-00160,Q-2025-00037,Comment Added,First Approver,APPR-008,2025-03-11T00:00:00,4,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00161,Q-2025-00037,Rejected,First Approver,APPR-008,2025-03-16T00:00:00,7,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00162,Q-2025-00037,Resubmitted,AE,AE-036,2025-03-16T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00163,Q-2025-00038,Submitted,AE,AE-004,2025-04-21T00:00:00,0,,False
EVT-00164,Q-2025-00038,Rejected,First Approver,APPR-010,2025-04-25T00:00:00,4,Pricing on line 3 is below LEP. Correct net price to at least €63.43 before resubmission.,False
EVT-00165,Q-2025-00038,Resubmitted,AE,AE-004,2025-04-28T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00166,Q-2025-00039,Submitted,AE,AE-020,2025-02-19T00:00:00,0,,False
EVT-00167,Q-2025-00039,Approved,First Approver,APPR-009,2025-02-24T00:00:00,5,,False
EVT-00168,Q-2025-00039,Comment Added,First Approver,APPR-009,2025-02-24T00:00:00,6,Pricing on line 3 is below LEP. Correct net price to at least €82.03 before resubmission.,False
EVT-00169,Q-2025-00039,Rejected,First Approver,APPR-009,2025-02-28T00:00:00,9,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00170,Q-2025-00039,Resubmitted,AE,AE-020,2025-02-27T00:00:00,8,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00171,Q-2025-00040,Submitted,AE,AE-021,2025-02-22T00:00:00,0,,False
EVT-00172,Q-2025-00040,Comment Added,First Approver,APPR-005,2025-02-23T00:00:00,3,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00173,Q-2025-00040,Rejected,First Approver,APPR-005,2025-02-28T00:00:00,6,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00174,Q-2025-00040,Resubmitted,AE,AE-021,2025-02-27T00:00:00,5,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00175,Q-2025-00041,Submitted,AE,AE-003,2025-03-28T00:00:00,0,,False
EVT-00176,Q-2025-00041,Rejected,First Approver,APPR-004,2025-03-31T00:00:00,3,,False
EVT-00177,Q-2025-00041,Rejected,First Approver,APPR-004,2025-04-05T00:00:00,8,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00178,Q-2025-00041,Resubmitted,AE,AE-003,2025-04-05T00:00:00,8,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00179,Q-2025-00042,Submitted,AE,AE-042,2025-04-10T00:00:00,0,,False
EVT-00180,Q-2025-00042,Escalated,First Approver,APPR-004,2025-04-17T00:00:00,7,Escalated to Board for high-value deal approval.,False
EVT-00181,Q-2025-00042,Rejected,First Approver,APPR-004,2025-05-13T00:00:00,33,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00182,Q-2025-00042,Resubmitted,AE,AE-042,2025-05-15T00:00:00,35,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00183,Q-2025-00043,Submitted,AE,AE-001,2025-03-29T00:00:00,0,,False
EVT-00184,Q-2025-00043,Comment Added,First Approver,APPR-006,2025-03-30T00:00:00,2,Business justification for discount >35% is absent. Attach margin analysis.,False
EVT-00185,Q-2025-00043,Rejected,First Approver,APPR-006,2025-04-01T00:00:00,3,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00186,Q-2025-00043,Resubmitted,AE,AE-001,2025-04-05T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00187,Q-2025-00044,Submitted,AE,AE-038,2025-03-03T00:00:00,0,,False
EVT-00188,Q-2025-00044,Rejected,First Approver,APPR-005,2025-03-06T00:00:00,3,,False
EVT-00189,Q-2025-00044,Rejected,First Approver,APPR-005,2025-03-09T00:00:00,6,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00190,Q-2025-00044,Resubmitted,AE,AE-038,2025-03-12T00:00:00,9,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00191,Q-2025-00045,Submitted,AE,AE-030,2025-04-08T00:00:00,0,,False
EVT-00192,Q-2025-00045,Comment Added,First Approver,APPR-008,2025-04-09T00:00:00,3,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00193,Q-2025-00045,Approved,First Approver,APPR-008,2025-04-15T00:00:00,7,,False
EVT-00194,Q-2025-00045,Comment Added,First Approver,APPR-008,2025-04-12T00:00:00,4,MCCA not yet signed by customer. Cannot approve until MCCA execution confirmed.,False
EVT-00195,Q-2025-00045,Rejected,First Approver,APPR-008,2025-04-13T00:00:00,5,,False
EVT-00196,Q-2025-00045,Comment Added,First Approver,APPR-008,2025-04-13T00:00:00,5,Pricing on line 3 is below LEP. Correct net price to at least €66.58 before resubmission.,False
EVT-00197,Q-2025-00045,Approved,First Approver,APPR-008,2025-04-16T00:00:00,8,,False
EVT-00198,Q-2025-00045,Rejected,First Approver,APPR-008,2025-04-18T00:00:00,10,Year-1 ACV is 28% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00199,Q-2025-00045,Resubmitted,AE,AE-030,2025-04-19T00:00:00,11,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00200,Q-2025-00046,Submitted,AE,AE-036,2025-03-28T00:00:00,0,,False
EVT-00201,Q-2025-00046,Approved,First Approver,APPR-001,2025-04-02T00:00:00,5,,False
EVT-00202,Q-2025-00046,Rejected,First Approver,APPR-001,2025-04-02T00:00:00,5,,False
EVT-00203,Q-2025-00046,Approved,First Approver,APPR-001,2025-04-06T00:00:00,9,,False
EVT-00204,Q-2025-00047,Submitted,AE,AE-004,2025-03-03T00:00:00,0,,False
EVT-00205,Q-2025-00048,Submitted,AE,AE-023,2025-02-19T00:00:00,0,,False
EVT-00206,Q-2025-00048,Comment Added,First Approver,APPR-002,2025-02-22T00:00:00,3,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,True
EVT-00207,Q-2025-00048,Approved,First Approver,APPR-002,2025-02-23T00:00:00,4,,True
EVT-00208,Q-2025-00048,Comment Added,First Approver,APPR-002,2025-02-25T00:00:00,6,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,True
EVT-00209,Q-2025-00048,Rejected,First Approver,APPR-002,2025-02-27T00:00:00,8,,False
EVT-00210,Q-2025-00048,Comment Added,First Approver,APPR-002,2025-02-26T00:00:00,8,Pricing on line 3 is below LEP. Correct net price to at least €49.09 before resubmission.,True
EVT-00211,Q-2025-00048,Rejected,First Approver,APPR-002,2025-03-02T00:00:00,11,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00212,Q-2025-00048,Resubmitted,AE,AE-023,2025-03-07T00:00:00,16,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00213,Q-2025-00049,Submitted,AE,AE-021,2025-03-31T00:00:00,0,,False
EVT-00214,Q-2025-00049,Comment Added,First Approver,APPR-002,2025-04-01T00:00:00,1,Pricing on line 3 is below LEP. Correct net price to at least €81.88 before resubmission.,False
EVT-00215,Q-2025-00049,Rejected,First Approver,APPR-002,2025-04-03T00:00:00,3,Business justification for discount >35% is absent. Attach margin analysis.,False
